Wall time,Step,Value
1607668040.545676,1000,-264.8323059082031
1607668043.406652,2000,-216.51416015625
1607668046.4074821,3000,-210.31851196289062
1607668050.2005708,4000,-202.62681579589844
1607668053.299666,5000,-206.0492401123047
1607668056.071897,6000,-199.94268798828125
1607668059.625705,7000,-192.31553649902344
1607668062.687008,8000,-201.44883728027344
1607668066.869799,9000,-197.1356658935547
1607668070.6360629,10000,-200.0966339111328
1607668075.793931,11000,-184.25535583496094
1607668081.1400619,12000,-176.2811279296875
1607668086.386178,13000,-173.8075714111328
1607668091.552813,14000,-166.7767791748047
1607668096.8082361,15000,-165.4155731201172
1607668101.953279,16000,-163.9008331298828
1607668107.7341099,17000,-162.32708740234375
1607668113.5045,18000,-159.51455688476562
1607668119.226296,19000,-158.76663208007812
1607668125.0000682,20000,-156.96826171875
1607668130.863294,21000,-153.96905517578125
1607668136.6241121,22000,-150.04981994628906
1607668152.0658062,23000,-151.73065185546875
1607668164.976605,24000,-151.10728454589844
1607668177.946313,25000,-148.673095703125
1607668191.298201,26000,-148.42259216308594
1607668203.428757,27000,-147.8951873779297
1607668216.627455,28000,-147.51190185546875
1607668228.6212962,29000,-144.9286651611328
1607668241.300669,30000,-144.2887420654297
1607668255.402963,31000,-143.00439453125
1607668267.055703,32000,-141.5624542236328
1607668277.720911,33000,-139.30776977539062
1607668289.747073,34000,-138.66754150390625
1607668300.8503182,35000,-138.42127990722656
1607668311.881034,36000,-137.57907104492188
1607668321.258142,37000,-137.36962890625
1607668330.978747,38000,-137.61212158203125
1607668342.141512,39000,-136.2075653076172
1607668350.411351,40000,-135.48587036132812
1607668358.642012,41000,-136.3228759765625
1607668370.599574,42000,-135.55091857910156
1607668378.125665,43000,-134.27638244628906
1607668389.2638772,44000,-133.67532348632812
1607668398.82813,45000,-132.7517547607422
1607668406.038454,46000,-133.99156188964844
1607668416.402923,47000,-133.08212280273438
1607668423.538068,48000,-132.82595825195312
1607668433.5414982,49000,-132.02891540527344
