Wall time,Step,Value
1607722249.129119,1000,-1242.823486328125
1607722249.799747,2000,-1216.4644775390625
1607722250.435668,3000,-1320.25
1607722251.0577312,4000,-1278.7862548828125
1607722251.69421,5000,-1242.6663818359375
1607722252.324297,6000,-1260.4100341796875
1607722252.980191,7000,-1242.1494140625
1607722253.6206899,8000,-1236.320068359375
1607722254.2498071,9000,-1240.78466796875
1607722254.871091,10000,-1231.6767578125
1607722259.091136,11000,-1269.1151123046875
1607722263.5908952,12000,-1245.9796142578125
1607722267.8682518,13000,-1245.61328125
1607722272.196466,14000,-1243.2236328125
1607722276.414502,15000,-1222.298583984375
1607722280.739771,16000,-1237.9869384765625
1607722284.959616,17000,-1228.7564697265625
1607722289.215559,18000,-1225.1746826171875
1607722293.55191,19000,-1222.8468017578125
1607722302.225683,20000,-1226.027099609375
1607722306.200202,21000,-1234.9757080078125
1607722310.178674,22000,-1235.2757568359375
1607722314.345441,23000,-1238.40380859375
1607722318.48841,24000,-1237.3568115234375
1607722322.6284091,25000,-1238.7496337890625
1607722326.7440262,26000,-1241.2625732421875
1607722330.90813,27000,-1238.4239501953125
1607722335.077294,28000,-1240.4595947265625
1607722339.2149498,29000,-1241.1951904296875
1607722343.372256,30000,-1241.787109375
1607722347.520019,31000,-1239.687744140625
1607722351.680157,32000,-1245.7191162109375
1607722355.860784,33000,-1250.9296875
1607722360.005474,34000,-1254.5396728515625
1607722364.177374,35000,-1256.3812255859375
1607722368.3218508,36000,-1252.360595703125
1607722372.465374,37000,-1257.877197265625
1607722376.628024,38000,-1253.439453125
1607722380.790606,39000,-1256.2926025390625
1607722388.677407,40000,-1257.0679931640625
1607722392.622689,41000,-1256.67431640625
1607722396.563564,42000,-1261.460693359375
1607722400.588484,43000,-1260.367431640625
1607722404.751594,44000,-1263.208251953125
1607722408.831407,45000,-1260.7254638671875
1607722412.946336,46000,-1260.23388671875
1607722416.9788392,47000,-1259.5750732421875
1607722421.125579,48000,-1262.301025390625
1607722425.274687,49000,-1269.96533203125
1607722429.419925,50000,-1264.57275390625
1607722433.5435789,51000,-1265.00634765625
1607722437.696741,52000,-1263.6805419921875
1607722441.839732,53000,-1261.1209716796875
1607722445.9817548,54000,-1262.7113037109375
1607722450.1277041,55000,-1267.8232421875
1607722454.278303,56000,-1267.2650146484375
1607722458.3995001,57000,-1266.3895263671875
1607722462.549123,58000,-1268.2991943359375
1607722466.720914,59000,-1268.2786865234375
1607722474.642729,60000,-1266.8197021484375
1607722478.5672479,61000,-1266.3424072265625
1607722482.541146,62000,-1267.7177734375
1607722486.616349,63000,-1264.01708984375
1607722490.784228,64000,-1265.65185546875
1607722494.9343932,65000,-1263.8236083984375
1607722499.079978,66000,-1263.3270263671875
1607722503.269084,67000,-1258.3270263671875
1607722507.462564,68000,-1256.4544677734375
1607722511.663554,69000,-1257.3709716796875
1607722515.850133,70000,-1255.291748046875
1607722519.989633,71000,-1252.3858642578125
1607722524.1106088,72000,-1252.6729736328125
1607722528.244683,73000,-1249.923583984375
1607722532.3758872,74000,-1251.08251953125
1607722536.504531,75000,-1250.7640380859375
1607722538.902739,76000,-1252.2196044921875
1607722541.367702,77000,-1252.8956298828125
1607722543.815566,78000,-1257.0616455078125
1607722546.269956,79000,-1260.5169677734375
1607722552.3989289,80000,-1263.8087158203125
1607722554.818708,81000,-1268.6807861328125
1607722557.192427,82000,-1271.8800048828125
1607722559.558948,83000,-1274.925048828125
1607722561.855788,84000,-1274.808349609375
1607722564.0919418,85000,-1272.3704833984375
1607722566.430586,86000,-1266.0498046875
1607722569.043369,87000,-1261.2186279296875
1607722571.528189,88000,-1256.6492919921875
1607722573.848477,89000,-1250.6448974609375
1607722576.22252,90000,-1243.8084716796875
1607722578.527462,91000,-1238.734375
1607722580.73731,92000,-1233.639404296875
1607722582.946753,93000,-1229.4959716796875
1607722585.195723,94000,-1223.62451171875
1607722587.3425941,95000,-1219.0323486328125
1607722589.4756072,96000,-1216.3541259765625
1607722591.638589,97000,-1213.357421875
1607722593.800629,98000,-1210.9368896484375
1607722595.921452,99000,-1208.8641357421875
1607722601.775418,100000,-1207.63037109375
1607722603.964243,101000,-1204.48193359375
1607722606.08747,102000,-1200.7901611328125
1607722608.200327,103000,-1197.0810546875
1607722610.325841,104000,-1191.3209228515625
1607722612.482792,105000,-1190.199462890625
1607722614.602714,106000,-1185.923583984375
1607722616.73532,107000,-1184.435791015625
1607722618.854187,108000,-1182.5936279296875
1607722620.9957812,109000,-1180.1529541015625
1607722623.1239219,110000,-1177.0059814453125
1607722625.248725,111000,-1173.4964599609375
1607722627.364095,112000,-1170.2337646484375
1607722629.482399,113000,-1165.8880615234375
1607722631.613861,114000,-1162.0010986328125
1607722633.77178,115000,-1154.5167236328125
1607722635.887049,116000,-1147.1588134765625
1607722638.0031612,117000,-1141.6527099609375
1607722640.127018,118000,-1135.7042236328125
1607722642.281913,119000,-1128.745361328125
1607722648.0414479,120000,-1124.3682861328125
1607722650.158562,121000,-1119.8834228515625
1607722652.318924,122000,-1115.7515869140625
1607722654.4553568,123000,-1110.215087890625
1607722656.839304,124000,-1104.538818359375
1607722659.180716,125000,-1099.0933837890625
1607722661.566211,126000,-1092.748291015625
1607722663.800889,127000,-1087.90771484375
1607722665.946673,128000,-1080.971435546875
1607722668.0832589,129000,-1075.8912353515625
1607722670.189047,130000,-1070.4649658203125
1607722672.310427,131000,-1064.950439453125
1607722674.417802,132000,-1058.5968017578125
1607722676.539218,133000,-1054.3643798828125
1607722678.675908,134000,-1048.5867919921875
1607722680.853394,135000,-1043.038330078125
1607722683.01713,136000,-1038.1761474609375
1607722685.199923,137000,-1032.7979736328125
1607722687.3349812,138000,-1027.29931640625
1607722689.489493,139000,-1022.2577514648438
