Wall time,Step,Value
1607731597.227909,1000,-1242.823486328125
1607731597.886227,2000,-1216.9942626953125
1607731598.512351,3000,-1320.5369873046875
1607731599.09962,4000,-1278.9571533203125
1607731599.6917188,5000,-1242.91748046875
1607731600.277737,6000,-1260.5130615234375
1607731600.877703,7000,-1242.23779296875
1607731601.459882,8000,-1236.6470947265625
1607731602.070416,9000,-1241.1573486328125
1607731602.671202,10000,-1232.1248779296875
1607731606.102816,11000,-1258.803955078125
1607731609.507854,12000,-1242.1522216796875
1607731612.87579,13000,-1246.92236328125
1607731616.2691169,14000,-1232.56591796875
1607731619.672946,15000,-1220.8880615234375
1607731623.037756,16000,-1231.225341796875
1607731626.619114,17000,-1220.85546875
1607731630.221291,18000,-1212.33935546875
1607731633.812373,19000,-1204.6798095703125
1607731641.667488,20000,-1209.3045654296875
1607731645.087311,21000,-1222.5870361328125
1607731648.4871411,22000,-1218.951171875
1607731651.9635599,23000,-1223.2880859375
1607731655.5032802,24000,-1222.179931640625
1607731659.041785,25000,-1218.0751953125
1607731662.615212,26000,-1223.0535888671875
1607731666.1779149,27000,-1217.9840087890625
1607731669.752321,28000,-1216.5267333984375
1607731673.3025641,29000,-1211.4876708984375
1607731676.8736691,30000,-1209.4520263671875
1607731680.466083,31000,-1206.9600830078125
1607731684.070793,32000,-1211.211669921875
1607731687.685259,33000,-1215.6033935546875
1607731691.3156888,34000,-1218.449951171875
1607731694.9250119,35000,-1219.416259765625
1607731698.5286012,36000,-1215.0645751953125
1607731702.134049,37000,-1216.1219482421875
1607731705.74409,38000,-1211.66162109375
1607731709.3524559,39000,-1213.742431640625
1607731716.597229,40000,-1215.370361328125
1607731720.007993,41000,-1212.4005126953125
1607731723.4168909,42000,-1213.536376953125
1607731726.986519,43000,-1212.5235595703125
1607731730.5232372,44000,-1215.0025634765625
1607731734.0553951,45000,-1214.0120849609375
1607731737.638061,46000,-1213.599609375
1607731741.174098,47000,-1212.2325439453125
1607731744.6953359,48000,-1213.79638671875
1607731748.214056,49000,-1219.2398681640625
1607731751.7590039,50000,-1216.0517578125
1607731755.290432,51000,-1215.0499267578125
1607731758.834713,52000,-1214.7841796875
1607731762.373179,53000,-1213.15283203125
1607731765.895914,54000,-1213.548095703125
1607731769.4670699,55000,-1218.0218505859375
1607731773.0292659,56000,-1216.268310546875
1607731776.590053,57000,-1214.6875
1607731780.15078,58000,-1215.518310546875
1607731783.796385,59000,-1213.489990234375
1607731791.161149,60000,-1211.6397705078125
1607731794.55468,61000,-1211.41943359375
1607731797.9460852,62000,-1212.42578125
1607731801.414474,63000,-1210.0416259765625
1607731804.9184551,64000,-1210.81640625
1607731808.4527109,65000,-1208.952392578125
1607731812.0276349,66000,-1208.4630126953125
1607731815.579319,67000,-1206.1038818359375
1607731819.130594,68000,-1203.4278564453125
1607731822.678145,69000,-1203.2813720703125
1607731826.2567081,70000,-1202.438720703125
1607731829.8056,71000,-1200.517822265625
1607731833.359624,72000,-1200.3519287109375
1607731836.90803,73000,-1198.413818359375
1607731840.446344,74000,-1198.5780029296875
1607731844.001895,75000,-1199.367919921875
1607731845.884473,76000,-1200.7086181640625
1607731847.66659,77000,-1202.005615234375
1607731849.4088252,78000,-1203.449951171875
1607731851.091456,79000,-1205.8590087890625
1607731856.536043,80000,-1206.996826171875
1607731858.247095,81000,-1208.7742919921875
1607731859.921186,82000,-1209.2401123046875
1607731861.5809028,83000,-1208.9046630859375
1607731863.264051,84000,-1207.515869140625
1607731864.914382,85000,-1207.927001953125
1607731866.567561,86000,-1205.0233154296875
1607731868.259951,87000,-1202.8477783203125
1607731869.924667,88000,-1203.0423583984375
1607731871.571382,89000,-1203.1085205078125
1607731873.3041852,90000,-1199.46630859375
1607731874.983247,91000,-1197.3759765625
1607731876.6506948,92000,-1193.983642578125
1607731878.31674,93000,-1191.3536376953125
1607731879.974865,94000,-1187.986572265625
1607731881.618407,95000,-1186.01708984375
1607731883.303927,96000,-1184.62548828125
1607731884.9708438,97000,-1182.6314697265625
1607731886.615319,98000,-1180.546630859375
1607731888.298201,99000,-1179.00830078125
1607731893.635831,100000,-1178.658447265625
1607731895.312719,101000,-1178.2088623046875
1607731896.957957,102000,-1177.1214599609375
1607731898.642509,103000,-1175.474609375
1607731900.2822468,104000,-1173.8992919921875
1607731901.9795861,105000,-1173.5948486328125
