Wall time,Step,Value
1607739651.7276192,1000,-151.31048583984375
1607739654.586207,2000,-164.03326416015625
1607739658.514369,3000,-167.9833526611328
1607739661.755457,4000,-180.81468200683594
1607739665.631944,5000,-167.59774780273438
1607739668.3826911,6000,-170.2481689453125
1607739670.991518,7000,-174.74822998046875
1607739673.8653471,8000,-181.16302490234375
1607739676.801336,9000,-184.3628692626953
1607739680.065494,10000,-186.92417907714844
1607739688.83852,11000,-184.7145538330078
1607739696.494665,12000,-185.17604064941406
1607739705.047117,13000,-181.14500427246094
1607739712.8204648,14000,-176.9022674560547
1607739721.084904,15000,-176.71621704101562
1607739729.457897,16000,-174.94065856933594
1607739738.16673,17000,-175.3066864013672
1607739747.538204,18000,-177.81076049804688
1607739756.416658,19000,-179.4435272216797
1607739772.25899,20000,-179.68600463867188
1607739780.711005,21000,-176.9142608642578
1607739790.547872,22000,-178.72010803222656
1607739799.540719,23000,-178.1806640625
1607739808.3207538,24000,-177.94708251953125
1607739817.922654,25000,-176.57313537597656
1607739826.263644,26000,-176.00204467773438
1607739835.303705,27000,-175.1196746826172
1607739844.298892,28000,-176.17420959472656
1607739854.020376,29000,-176.15855407714844
1607739865.209025,30000,-176.16566467285156
1607739876.519047,31000,-175.2241668701172
1607739886.6746519,32000,-175.3376922607422
1607739896.189499,33000,-174.74063110351562
1607739906.557439,34000,-174.07522583007812
1607739916.071372,35000,-173.5200653076172
1607739926.483613,36000,-172.7165985107422
1607739936.220643,37000,-171.63731384277344
1607739946.042073,38000,-171.96400451660156
1607739955.512316,39000,-172.0348358154297
1607739966.882561,40000,-173.668701171875
1607739976.494957,41000,-173.8504180908203
1607739986.211658,42000,-172.814697265625
1607739996.8849878,43000,-171.85263061523438
1607740008.280603,44000,-171.6470489501953
1607740019.046217,45000,-171.00750732421875
1607740029.369313,46000,-170.62855529785156
1607740045.8203058,47000,-171.43267822265625
1607740060.6790369,48000,-170.1388397216797
1607740077.039777,49000,-170.07147216796875
1607740091.5782342,50000,-169.9467010498047
1607740105.514295,51000,-170.4053497314453
1607740117.0737998,52000,-169.8079071044922
1607740131.456938,53000,-169.49803161621094
1607740145.011231,54000,-169.44805908203125
1607740156.8518631,55000,-169.16921997070312
