Wall time,Step,Value
1607743277.58534,1000,-151.31048583984375
1607743279.8764842,2000,-156.19515991210938
1607743282.9641511,3000,-139.79434204101562
1607743285.667348,4000,-159.80572509765625
1607743288.709929,5000,-163.212890625
1607743291.843717,6000,-169.11929321289062
1607743295.071649,7000,-171.8257293701172
1607743298.1542342,8000,-170.1870880126953
1607743300.992645,9000,-174.52035522460938
1607743304.100676,10000,-174.42608642578125
1607743310.814156,11000,-173.87815856933594
1607743318.24721,12000,-173.64614868164062
1607743326.210758,13000,-173.59397888183594
1607743333.067362,14000,-173.72586059570312
1607743340.990433,15000,-172.50929260253906
1607743348.564585,16000,-172.5005645751953
1607743360.146235,17000,-175.2428741455078
1607743374.6693592,18000,-179.38055419921875
1607743387.9261131,19000,-180.88284301757812
1607743410.1000152,20000,-179.63536071777344
1607743422.877759,21000,-179.60464477539062
1607743437.08466,22000,-180.77825927734375
1607743447.84397,23000,-180.34457397460938
1607743459.9170702,24000,-181.8256072998047
1607743470.888583,25000,-184.04234313964844
1607743483.380186,26000,-184.96629333496094
1607743495.359382,27000,-182.65606689453125
1607743507.813888,28000,-180.367431640625
1607743519.75316,29000,-181.0955810546875
1607743532.82035,30000,-183.0064239501953
1607743545.4457998,31000,-181.35372924804688
1607743557.040899,32000,-181.02516174316406
1607743568.8779762,33000,-181.84129333496094
1607743580.3042712,34000,-181.1202850341797
1607743589.7210681,35000,-183.5311279296875
1607743600.3531892,36000,-185.3117218017578
1607743612.429565,37000,-186.7708740234375
1607743623.927262,38000,-187.74481201171875
1607743635.342377,39000,-187.98599243164062
1607743672.208698,40000,-187.5714569091797
1607743685.972321,41000,-188.38270568847656
1607743699.9053388,42000,-187.79794311523438
1607743716.247564,43000,-187.3856201171875
1607743729.539459,44000,-186.73446655273438
1607743744.133556,45000,-186.05203247070312
1607743758.8306692,46000,-186.5753631591797
1607743770.319867,47000,-186.4161834716797
1607743785.825505,48000,-187.11024475097656
1607743798.706392,49000,-186.53431701660156
1607743809.723222,50000,-187.24282836914062
1607743822.3704169,51000,-186.63502502441406
1607743834.574343,52000,-187.170654296875
1607743846.754924,53000,-186.19583129882812
1607743858.9907131,54000,-185.96092224121094
1607743870.06063,55000,-185.5052490234375
1607743881.8892548,56000,-186.59384155273438
1607743893.210121,57000,-187.11801147460938
1607743903.802596,58000,-187.9385986328125
1607743916.843712,59000,-186.98147583007812
1607743977.772158,60000,-186.7352294921875
1607743991.569689,61000,-186.39759826660156
1607744003.0874062,62000,-186.99732971191406
1607744017.52933,63000,-186.91879272460938
1607744031.100332,64000,-185.94680786132812
1607744039.9150379,65000,-185.6468048095703
1607744048.939486,66000,-185.87242126464844
1607744059.012901,67000,-185.473876953125
1607744068.864473,68000,-186.20123291015625
1607744078.081532,69000,-185.64816284179688
1607744086.795609,70000,-185.37371826171875
1607744097.39072,71000,-185.9793243408203
1607744108.226963,72000,-186.63648986816406
1607744120.679355,73000,-186.43228149414062
1607744130.483266,74000,-185.6747589111328
1607744142.125537,75000,-185.22055053710938
1607744150.350476,76000,-185.02310180664062
1607744157.8770611,77000,-185.12098693847656
1607744164.365141,78000,-184.8046112060547
1607744171.029492,79000,-184.83201599121094
1607744203.221619,80000,-184.71548461914062
1607744209.1712132,81000,-184.64273071289062
1607744216.903311,82000,-184.57362365722656
1607744227.1151319,83000,-184.45877075195312
1607744236.546633,84000,-184.39718627929688
1607744245.738652,85000,-184.30410766601562
1607744256.3689878,86000,-184.19395446777344
1607744265.43218,87000,-184.09518432617188
1607744275.6995132,88000,-184.01719665527344
1607744284.206372,89000,-183.8850555419922
1607744293.351769,90000,-183.85012817382812
1607744303.4051242,91000,-183.81451416015625
1607744311.6582332,92000,-183.80494689941406
1607744318.6589818,93000,-183.79730224609375
1607744325.334616,94000,-183.71739196777344
1607744334.396758,95000,-183.67579650878906
1607744343.269666,96000,-183.67251586914062
1607744351.739006,97000,-183.67527770996094
1607744359.0890172,98000,-183.64866638183594
1607744367.673088,99000,-183.6211395263672
1607744416.705127,100000,-183.63278198242188
1607744422.736895,101000,-183.52877807617188
1607744428.606441,102000,-183.33705139160156
1607744435.5463018,103000,-183.22647094726562
1607744442.002799,104000,-183.28485107421875
1607744448.0254028,105000,-183.24818420410156
1607744454.191991,106000,-183.25816345214844
1607744462.951936,107000,-183.14785766601562
1607744470.344216,108000,-183.30064392089844
1607744480.230564,109000,-183.26307678222656
1607744488.342687,110000,-183.0303497314453
1607744496.086443,111000,-183.05026245117188
1607744503.553438,112000,-182.80638122558594
1607744511.7982469,113000,-182.75083923339844
1607744520.5106401,114000,-182.7595977783203
1607744529.0600152,115000,-182.90594482421875
1607744537.247115,116000,-182.71505737304688
1607744544.7205079,117000,-182.67828369140625
1607744554.206322,118000,-182.6625213623047
1607744564.1233768,119000,-182.66481018066406
1607744609.650424,120000,-182.59259033203125
1607744618.205824,121000,-182.5022430419922
1607744626.4997818,122000,-182.40597534179688
1607744635.620373,123000,-182.32664489746094
1607744644.242296,124000,-182.2512664794922
1607744651.380739,125000,-182.17044067382812
1607744659.132132,126000,-182.09921264648438
1607744665.575907,127000,-182.0245819091797
1607744672.2721012,128000,-181.9404296875
1607744680.996209,129000,-181.85662841796875
1607744687.28555,130000,-181.67709350585938
1607744694.8341582,131000,-181.5563201904297
1607744703.6145978,132000,-181.50181579589844
1607744711.81503,133000,-181.4068145751953
1607744720.439103,134000,-181.30276489257812
1607744728.303896,135000,-181.22723388671875
1607744736.149139,136000,-181.16029357910156
1607744746.0336452,137000,-181.10316467285156
1607744754.743946,138000,-181.0789337158203
1607744762.4622028,139000,-180.96881103515625
1607744774.58383,140000,-180.94505310058594
1607744782.677425,141000,-181.00013732910156
1607744790.3638499,142000,-180.79713439941406
1607744795.4306402,143000,-180.56448364257812
1607744800.72755,144000,-179.799560546875
1607744807.457782,145000,-179.2771453857422
1607744813.587371,146000,-179.21788024902344
1607744820.970083,147000,-179.27862548828125
1607744827.135134,148000,-179.0574188232422
1607744835.3452191,149000,-179.13589477539062
1607744841.4293308,150000,-178.84121704101562
1607744848.598985,151000,-178.65261840820312
1607744855.6760619,152000,-178.04425048828125
