Wall time,Step,Value
1607752108.675004,1000,-306.0049133300781
1607752109.535757,2000,-244.65933227539062
1607752110.4009778,3000,-271.9785461425781
1607752111.2554681,4000,-322.11865234375
1607752112.194863,5000,-311.49896240234375
1607752113.157341,6000,-302.9758605957031
1607752114.068767,7000,-288.1460876464844
1607752114.919507,8000,-291.20269775390625
1607752115.790412,9000,-279.7049865722656
1607752116.647609,10000,-289.6872253417969
1607752121.1079302,11000,-272.9470520019531
1607752125.578135,12000,-249.8867950439453
1607752130.024618,13000,-230.34463500976562
1607752134.5003939,14000,-214.43350219726562
1607752139.11097,15000,-200.6955108642578
1607752143.778668,16000,-188.36074829101562
1607752148.495899,17000,-176.79891967773438
1607752153.169051,18000,-167.06365966796875
1607752157.864566,19000,-158.2173614501953
1607752170.808768,20000,-150.23040771484375
1607752175.3445928,21000,-142.98321533203125
1607752179.940979,22000,-136.4166717529297
1607752184.6332438,23000,-130.37571716308594
1607752189.309273,24000,-124.73062896728516
1607752194.0628061,25000,-119.83976745605469
1607752198.839732,26000,-115.10057067871094
1607752203.611776,27000,-110.7127456665039
1607752208.3849962,28000,-106.70671844482422
1607752213.132123,29000,-103.11580657958984
1607752217.898759,30000,-99.74356842041016
1607752222.705266,31000,-96.42044067382812
1607752227.41756,32000,-93.52606201171875
1607752232.12465,33000,-90.74652099609375
1607752236.8374982,34000,-88.10115814208984
1607752241.550616,35000,-85.67072296142578
1607752246.446468,36000,-83.38282775878906
1607752251.249391,37000,-81.22686004638672
1607752255.957477,38000,-79.17710876464844
1607752260.697679,39000,-77.30375671386719
1607752272.513819,40000,-75.473388671875
1607752277.0499551,41000,-73.70875549316406
1607752281.729866,42000,-72.01597595214844
1607752286.460939,43000,-70.40947723388672
1607752291.2044559,44000,-68.88565826416016
1607752295.921528,45000,-67.4482421875
1607752300.619863,46000,-66.08612060546875
1607752305.334211,47000,-64.78959655761719
1607752310.022967,48000,-63.52141189575195
1607752314.730494,49000,-62.34006881713867
1607752319.412574,50000,-61.137882232666016
1607752324.092848,51000,-60.05442428588867
1607752328.7752168,52000,-58.859310150146484
1607752333.482659,53000,-57.84999465942383
1607752338.188567,54000,-56.79893112182617
1607752342.904423,55000,-55.747982025146484
1607752347.623355,56000,-54.73657989501953
1607752352.3369222,57000,-53.81315994262695
1607752357.090563,58000,-52.901180267333984
1607752361.82513,59000,-52.00800323486328
1607752373.677247,60000,-51.24803924560547
1607752378.246707,61000,-50.48965835571289
1607752382.9164429,62000,-49.741676330566406
1607752387.682082,63000,-49.15174102783203
1607752392.488265,64000,-48.384246826171875
1607752397.2598,65000,-47.68333053588867
1607752402.000431,66000,-47.046234130859375
1607752406.7433758,67000,-46.41693878173828
1607752411.519551,68000,-45.81504821777344
1607752416.300721,69000,-45.226985931396484
1607752421.1770968,70000,-44.66388702392578
1607752426.176655,71000,-44.143287658691406
1607752431.005783,72000,-43.606868743896484
1607752435.833931,73000,-43.09191131591797
1607752440.7462652,74000,-42.51985168457031
1607752445.741825,75000,-41.97467803955078
1607752448.834132,76000,-47.26645278930664
1607752451.7268748,77000,-51.01898193359375
1607752454.603563,78000,-57.85147476196289
1607752457.3678238,79000,-64.67988586425781
1607752467.278403,80000,-71.34086608886719
1607752470.1925929,81000,-77.83910369873047
1607752472.883657,82000,-84.17215728759766
1607752475.582349,83000,-90.3150863647461
1607752478.241816,84000,-95.4283676147461
1607752480.884164,85000,-100.21385192871094
1607752483.670047,86000,-104.86439514160156
1607752486.362304,87000,-109.41426086425781
1607752488.98504,88000,-113.7287826538086
1607752491.726222,89000,-118.06755065917969
1607752494.777925,90000,-120.93916320800781
1607752497.621115,91000,-127.27749633789062
1607752500.683777,92000,-132.0269317626953
1607752503.3303418,93000,-136.74520874023438
1607752505.918509,94000,-142.770263671875
1607752508.543104,95000,-146.94497680664062
1607752511.1096342,96000,-152.1797637939453
1607752513.6914759,97000,-157.15484619140625
1607752516.207872,98000,-163.06427001953125
1607752518.744341,99000,-167.75221252441406
1607752528.403682,100000,-171.69345092773438
1607752530.995902,101000,-175.4955291748047
1607752533.550186,102000,-178.540283203125
1607752536.12003,103000,-181.36557006835938
1607752538.583526,104000,-184.58493041992188
1607752541.043263,105000,-187.77069091796875
1607752543.554549,106000,-190.91915893554688
1607752546.012876,107000,-194.4760284423828
1607752548.44398,108000,-197.94525146484375
1607752550.909081,109000,-201.50723266601562
1607752553.371093,110000,-205.16494750976562
1607752555.808191,111000,-208.6401824951172
1607752558.216058,112000,-212.29684448242188
1607752560.7102451,113000,-215.5279541015625
1607752563.353908,114000,-218.21400451660156
1607752565.9425988,115000,-221.3867645263672
1607752568.369191,116000,-223.55259704589844
1607752571.006101,117000,-227.07571411132812
1607752573.675931,118000,-227.52369689941406
1607752576.198143,119000,-227.0623779296875
1607752585.295608,120000,-228.32225036621094
1607752587.76946,121000,-228.1971893310547
1607752590.2649548,122000,-228.80201721191406
1607752592.7480268,123000,-229.6920928955078
1607752595.512353,124000,-231.0189971923828
1607752598.301604,125000,-231.7027587890625
1607752601.313897,126000,-231.2203826904297
1607752604.198299,127000,-231.42750549316406
1607752606.978472,128000,-231.16024780273438
1607752609.7386801,129000,-232.4131622314453
1607752612.2678368,130000,-234.02011108398438
1607752614.795995,131000,-235.76959228515625
1607752617.412321,132000,-235.3277587890625
1607752619.9378922,133000,-235.94140625
1607752622.454956,134000,-238.4060821533203
1607752624.946411,135000,-240.811767578125
1607752627.521579,136000,-237.37608337402344
1607752630.187744,137000,-239.0547637939453
1607752632.90651,138000,-241.80674743652344
1607752635.411241,139000,-243.90191650390625
1607752645.036022,140000,-245.83203125
1607752647.628695,141000,-247.23825073242188
1607752650.155245,142000,-248.43150329589844
1607752652.9276211,143000,-250.76040649414062
1607752655.756027,144000,-254.21112060546875
1607752658.498719,145000,-257.13848876953125
1607752661.36257,146000,-259.4244689941406
1607752664.202006,147000,-261.9205627441406
1607752666.89539,148000,-264.31915283203125
1607752669.585422,149000,-263.6893310546875
1607752672.228811,150000,-266.7875671386719
1607752674.844691,151000,-263.8096008300781
1607752677.317256,152000,-264.7165832519531
1607752679.754338,153000,-267.11358642578125
1607752682.20852,154000,-264.96282958984375
1607752684.633006,155000,-266.0444641113281
1607752687.084197,156000,-268.9943542480469
1607752689.5171342,157000,-271.0323181152344
1607752691.959807,158000,-273.3111877441406
1607752694.415781,159000,-275.972900390625
1607752703.252697,160000,-278.2245788574219
1607752705.7237551,161000,-279.824462890625
1607752708.2127411,162000,-281.51580810546875
1607752710.644462,163000,-282.82696533203125
1607752713.074751,164000,-280.23828125
1607752715.50847,165000,-279.45361328125
1607752717.977956,166000,-276.822509765625
1607752720.43619,167000,-278.6160888671875
1607752723.001631,168000,-280.42388916015625
