Wall time,Step,Value
1607825244.1057339,11000,0.0029362719506025314
1607825250.434866,12000,0.0035899928770959377
1607825256.847656,13000,0.0013013730058446527
1607825263.661373,14000,0.0025542485527694225
1607825270.0283809,15000,0.03815513476729393
1607825277.4262881,16000,0.0004776038113050163
1607825284.371627,17000,0.00019037100719287992
1607825290.893663,18000,2.0752942873514257e-05
1607825297.465075,19000,5.0893784646177664e-05
1607825304.267541,20000,0.00018526424537412822
1607825311.14753,21000,0.00013736431719735265
1607825318.272672,22000,1.5808536772965454e-05
1607825325.107456,23000,5.346307261788752e-06
1607825332.116732,24000,2.201307870564051e-05
1607825338.9156768,25000,1.2781183613697067e-05
1607825345.677102,26000,3.82831694878405e-06
1607825352.382593,27000,2.3689403860771563e-06
1607825359.149152,28000,1.807945045584347e-05
1607825366.068794,29000,3.382611339475261e-06
1607825373.003686,30000,7.80390837462619e-05
1607825379.903465,31000,1.0669539733498823e-05
1607825386.4576352,32000,2.882302396756131e-06
1607825393.668342,33000,1.6733516531530768e-05
1607825400.6114628,34000,0.031330376863479614
1607825407.3217049,35000,1.3552662494475953e-05
1607825414.402326,36000,1.874084318842506e-06
1607825421.38641,37000,1.3410382280198974e-06
1607825428.2662442,38000,3.0145160963002127e-06
1607825435.163054,39000,1.6541482182219625e-05
1607825442.2653499,40000,7.961002665979322e-06
1607825448.9033449,41000,2.4606410988781136e-06
1607825455.464022,42000,6.254123945836909e-06
1607825462.051223,43000,1.952247112058103e-05
1607825468.654343,44000,1.4468346307694446e-06
1607825475.41269,45000,2.5418488803552464e-05
1607825482.0079832,46000,0.030776411294937134
1607825488.599481,47000,4.4489795982372016e-05
1607825495.195286,48000,1.3456306987791322e-05
1607825501.950986,49000,5.8969912061002105e-05
1607825508.515077,50000,3.717012077686377e-05
1607825515.1042728,51000,8.552796498406678e-05
1607825521.746254,52000,8.116642129607499e-05
1607825528.5054662,53000,9.575129297445528e-06
1607825535.233449,54000,1.0000369002227671e-05
1607825541.8029282,55000,1.3344686522032134e-05
1607825548.375296,56000,1.4080895880397293e-06
1607825555.0295072,57000,1.3350118024391122e-06
1607825561.861685,58000,3.0244034860515967e-05
1607825568.447639,59000,2.362507802899927e-05
1607825575.0157921,60000,3.683758041006513e-05
1607825581.687118,61000,1.7912439943756908e-05
1607825588.446049,62000,3.4854738260037266e-06
1607825595.076957,63000,1.0061266038974281e-05
1607825601.859561,64000,7.67580968386028e-06
1607825608.446773,65000,8.78559694683645e-06
1607825615.116611,66000,7.600947355967946e-06
1607825621.911139,67000,5.184334440855309e-06
1607825628.6814332,68000,3.8682050217175856e-05
1607825635.2692668,69000,4.648465619538911e-06
1607825642.007357,70000,2.5305953386123292e-05
1607825648.7842062,71000,3.9080600799934473e-07
1607825655.5722299,72000,3.13983059641032e-06
1607825662.19981,73000,5.166981281945482e-06
1607825668.9912362,74000,9.995432264986448e-06
1607825675.761898,75000,8.866343705449253e-06
1607825679.942678,76000,4.8815199988894165e-06
